0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:36 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 110762058
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:36 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 110237770
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:36 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 109582410
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:36 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 109451338
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:36 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 109189194
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:36 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 108664906
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:36 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 108009546
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:36 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 107223114
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:36 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 106567754
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:36 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 106076234
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:36 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 105322570
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:36 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 104994890
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:36 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 104765514
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:36 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 104110154
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:36 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 103913546
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:36 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 103520330
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:36 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 103323722
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 102406218
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 101685322
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 100669514
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 100210762
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 99883082
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 99719242
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 98867274
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 98474058
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 98310218
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 97753162
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 96966730
